id_mun,combate_hambre,combate_hambre_y_leche,beneficiarios,mun,porcentaje_pea,poblacion_pea,porc_programa_hambre,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
12069,1514,1517,1618,Xalpatláhuac,36.11895,4512,0.93572313,0.33554965,0.35859931,0.33621454
12070,749,769,947,Xochihuehuetlán,28.66135,1930,0.79091871,0.38808289,0.49067357,0.39844561
12071,4399,4423,4757,Xochistlahuaca,49.28262,15399,0.92474246,0.2856679,0.30891615,0.28722644
12072,1233,1244,1295,Zapotitlán Tablas,40.93085,3475,0.95212352,0.35482013,0.37266186,0.35798562
12073,1116,1139,1261,Zirándaro,33.27171,5240,0.88501191,0.2129771,0.24064885,0.21736641
12074,1757,1822,1926,Zitlala,30.28425,6060,0.91225338,0.28993398,0.31782177,0.30066007
12075,3050,3165,3579,Eduardo Neri,18.90888,9187,0.85219336,0.33199087,0.38957223,0.34450856
12076,5675,5685,5977,Acatepec,47.20083,15017,0.94947296,0.37790504,0.39801559,0.37857094
12077,1535,1572,1766,Marquelia,25.96348,3197,0.86919594,0.48013762,0.55239284,0.49171099
12078,3058,3068,3301,Cochoapa el Grande,54.83986,8248,0.92638594,0.37075654,0.40021825,0.37196895
12079,2084,2106,2209,José Joaquin de Herrera,48.93206,7614,0.94341332,0.27370632,0.29012346,0.27659574
12080,576,599,669,Juchitán,33.1561,1986,0.86098653,0.29003021,0.336858,0.30161127
12081,679,686,730,Iliatenco,40.68548,4249,0.93013698,0.1598023,0.17180513,0.16144976
13001,801,815,986,Acatlán,14.50655,2730,0.81237322,0.29340661,0.36117217,0.29853481
13002,3011,3079,4367,Acaxochitlán,21.05983,6821,0.68948936,0.44143087,0.64022869,0.4514001
13003,2527,2799,3292,Actopan,7.17938,4064,0.76761848,0.6218012,0.81003934,0.6887303
13004,718,739,819,Agua Blanca de Iturbide,13.52704,1072,0.87667888,0.66977614,0.76399255,0.68936568
13005,476,516,552,Ajacuba,5.71148,862,0.86231881,0.55220419,0.6403712,0.5986079
13006,691,733,850,Alfajayucan,12.95766,2125,0.81294119,0.32517648,0.40000001,0.34494117
13007,729,756,855,Almoloya,8.9648,985,0.85263157,0.74010152,0.8680203,0.76751268
13008,982,1114,1379,Apan,8.92721,3449,0.71211022,0.28472021,0.39982605,0.32299218
13009,867,951,1090,El Arenal,13.2073,2573,0.79541284,0.33696073,0.42363,0.36960745
13010,360,495,582,Atitalaquia,5.4114,1703,0.61855668,0.21139166,0.34174985,0.29066354
13011,916,964,1172,Atlapexco,21.25369,3568,0.78156996,0.25672644,0.32847533,0.27017936
13012,1632,1702,1858,Atotonilco el Grande,10.66601,3331,0.87836385,0.48994297,0.55779046,0.51095766
