id_mun,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
15074,0.17695354,0.20835191,0.17844871
15075,0.3789531,0.50109053,0.40185386
15076,0.16442831,0.23968542,0.19721718
15077,0.1931624,0.34957266,0.23418804
15078,0.18560106,0.24372523,0.21070014
15079,0.294375,0.394375,0.32249999
15080,0.32284367,0.40196204,0.33163461
15081,0.66425991,0.78700364,0.72107166
15082,0.32002339,0.41414791,0.33814675
15083,0.12566137,0.16269842,0.13359788
15084,0.41101548,0.70877796,0.50774527
15085,0.49915347,0.61398602,0.51026869
15086,0.28477064,0.40715596,0.29596332
15087,0.31029111,0.38253418,0.3177987
15088,0.37252125,0.43232611,0.38519043
15089,0.25475842,0.30600291,0.27232796
15090,0.18453349,0.35635072,0.25402927
15091,0.11354215,0.45370796,0.33003223
15092,0.33191717,0.48884758,0.38475835
15093,0.21516755,0.36390358,0.25044093
15094,0.15332581,0.235062,0.20913191
15095,0.16324435,0.18090349,0.17166324
15096,0.2622582,0.32073775,0.28115159
15097,0.17465754,0.26198632,0.1880137
15098,0.19272727,0.26545453,0.22909091
15099,0.54770279,0.63549489,0.57584667
15100,0.32528338,0.52538198,0.39477575
15101,0.19447911,0.37663755,0.26668745
15102,0.20222545,0.25544268,0.21673924
15103,0.20633778,0.23118474,0.22074181
15104,0.45207033,0.5241797,0.48453125
15105,0.21744575,0.33597663,0.24401781
15106,0.42049879,0.50359213,0.44556445
15107,0.51995903,0.64585465,0.55066532
15108,0.060741343,0.24242425,0.16829005
15109,0.51918471,0.58254623,0.55375785
15110,0.34307435,0.42587313,0.35827988
15111,0.22207014,0.32609066,0.22840035
15112,0.21044898,0.33044899,0.26057142
15113,0.13804631,0.41376749,0.22471215
15114,0.37557346,0.45136222,0.37988016
15115,0.49339935,0.56518149,0.51870185
15116,0.46679688,0.63476563,0.5078125
15117,0.13037634,0.20295699,0.14112903
15118,0.32019684,0.37593856,0.33640182
15119,0.3804374,0.47200191,0.39365536
15120,0.39545825,0.52519679,0.4536325
15121,0.58623338,0.70541877,0.64474511
15122,0.3766703,0.44234809,0.40591645
15123,0.72287983,0.87842917,0.75407326
15124,0.28125116,0.32055542,0.28311747
15125,0.3259804,0.40196079,0.35294119
16001,0.24126726,0.29569456,0.25020307
16002,1,1.0747331,1
16003,0.49666223,0.64441478,0.50066757
16004,0.71837711,1.0047733,0.74224341
16005,0.28252301,0.42509857,0.31208935
16006,0.69199431,0.72742778,0.69568926
16007,0.19948186,0.20466322,0.20207255
16008,0.40369734,0.42519346,0.40864146
16009,0.37379068,0.43418354,0.3755497
16010,0.4983899,0.53108746,0.50631654
16011,1.0508941,1.0990372,1.0660248
16012,0.8597396,0.88897079,0.86489809
16013,1.2196929,1.4150344,1.2493383
